Column1;duration;id;index;location;match_id;minute;off_camera;pass_aerial_won;pass_angle;pass_assisted_shot_id;pass_body_part;pass_cross;pass_end_location;pass_goal_assist;pass_height;pass_inswinging;pass_length;pass_no_touch;pass_outcome;pass_outswinging;pass_recipient;pass_shot_assist;pass_switch;pass_technique;pass_type;period;play_pattern;player;player_id;position;possession;possession_team;possession_team_id;related_events;second;team;team_id;timestamp;type;under_pressure;x;y;pass_end_x;pass_end_y
61;0,692759;2a97324f-2275-4b56-b382-b5a176f1d67c;206;[90.9, 1.0];3893818;7;;;2,9043858;;Left Foot;;[81.8, 3.2];;Ground Pass;;9,362158;;;;Linda Lizeth Caicedo Alegría;;;;;1;From Throw In;María Catalina Usme Pineda;403278;Center Attacking Midfield;10;Colombia Women's;16802;['d9848ac2-4912-4692-91e7-8f1bf7121628'];6;Colombia Women's;16802;12:07:07 a. m.;Pass;;90,9;1;81,8;3,2
62;3,729771;a706a6cf-fc42-4055-afec-687a1d08bb59;209;[80.4, 4.3];3893818;7;;;1,8516725;;Right Foot;;[67.1, 50.4];;High Pass;;47,980206;;;;Carolina Arias Vidal;;VERDADERO;;;1;From Throw In;Linda Lizeth Caicedo Alegría;386339;Left Wing;10;Colombia Women's;16802;['0dbd2a27-4b09-4458-bedf-9381cd597505'];9;Colombia Women's;16802;12:07:09 a. m.;Pass;;80,4;4,3;67,1;50,4
63;1,411766;3573097e-02d8-4c4c-94b3-46fc51ad7c92;212;[67.3, 54.0];3893818;7;;;0,6962496;;Right Foot;;[86.8, 70.3];;Ground Pass;;25,41535;;;;Lady Patricia Andrade Rodríguez;;;;;1;From Throw In;Carolina Arias Vidal;403283;Right Back;10;Colombia Women's;16802;['1c2fefab-87cb-4a1b-8c6e-b39d0ea2b8b1'];14;Colombia Women's;16802;12:07:15 a. m.;Pass;;67,3;54;86,8;70,3
64;1,355232;5adbb1a1-d469-4cd5-a1c6-b9450db675ec;215;[87.5, 71.7];3893818;7;;;-0,24768136;;Right Foot;;[104.9, 67.3];;Ground Pass;;17,947702;;;;Mayra Tatiana Ramírez Ramírez;;;;;1;From Throw In;Lady Patricia Andrade Rodríguez;49888;Right Wing;10;Colombia Women's;16802;['3015ef57-a5ee-489c-a082-79ec38785662'];17;Colombia Women's;16802;12:07:17 a. m.;Pass;;87,5;71,7;104,9;67,3
65;2,01697;800757da-d42d-47a2-950b-ec6b723346ac;221;[120.0, 80.0];3893818;7;;;-1,7013853;db616164-ee08-4a70-aeb5-2e113e343f45;Left Foot;;[114.3, 36.6];;High Pass;VERDADERO;43,77271;;;;Mayra Tatiana Ramírez Ramírez;VERDADERO;VERDADERO;Inswinging;Corner;1;From Corner;María Catalina Usme Pineda;403278;Center Attacking Midfield;11;Colombia Women's;16802;['79f9ea35-0ad4-4190-b6e4-49e531109540'];53;Colombia Women's;16802;12:07:54 a. m.;Pass;;120;80;114,3;36,6
68;1,285472;cdd8b3bd-9c0b-48e3-acd6-3278ec803522;230;[53.1, 52.4];3893818;8;;;0,37724906;;Other;;[58.4, 54.5];;High Pass;;5,700877;;;;Lorena Bedoya Durango;;;;Recovery;1;From Goal Kick;Daniela Montoya Quiróz;403282;Left Defensive Midfield;12;Germany Women's;857;['d525fc82-4b99-4309-bb1d-1853109492d7', 'f7b7dce2-310f-434b-ab17-9a9a146fbd4e'];24;Colombia Women's;16802;12:08:25 a. m.;Pass;;53,1;52,4;58,4;54,5
69;1,59925;e5ea08d9-0fbf-47f3-a096-b3e6be49187d;233;[58.4, 54.5];3893818;8;;;0,49513325;;Right Foot;;[63.4, 57.2];;High Pass;;5,682429;;Incomplete;;Lady Patricia Andrade Rodríguez;;;;;1;From Goal Kick;Lorena Bedoya Durango;49904;Right Defensive Midfield;12;Germany Women's;857;['4a1bd2eb-8343-43ce-b0e1-e739ed70685b', '6b305e15-6f10-4340-92fe-e80d06792982'];25;Colombia Women's;16802;12:08:26 a. m.;Pass;;58,4;54,5;63,4;57,2
71;0,644116;6bf06add-b729-4251-88d0-515f4ce397cb;239;[49.5, 60.7];3893818;8;;;-0,8836721;;Left Foot;;[52.7, 56.8];;Low Pass;;5,0447993;;;;Lorena Bedoya Durango;;;;Recovery;1;From Goal Kick;Carolina Arias Vidal;403283;Right Back;12;Germany Women's;857;['18a32256-1fd2-4212-b32f-8d44514367ef'];30;Colombia Women's;16802;12:08:30 a. m.;Pass;;49,5;60,7;52,7;56,8
72;1,936;43212009-8437-410d-a88a-091d799eb38b;243;[53.1, 56.4];3893818;8;;;1,5193397;;Right Foot;;[54.3, 79.7];;Ground Pass;;23,330881;;Out;;Lady Patricia Andrade Rodríguez;;;;;1;From Goal Kick;Lorena Bedoya Durango;49904;Right Defensive Midfield;12;Germany Women's;857;['ed2e76b4-e175-4b43-9c4a-c4c771f934e8'];31;Colombia Women's;16802;12:08:32 a. m.;Pass;;53,1;56,4;54,3;79,7
84;1,416353;69d84af0-0009-419a-89f2-58b73f937f2c;278;[44.9, 33.9];3893818;9;;VERDADERO;0,5247958;;;;[46.8, 35.0];;Low Pass;;2,1954498;;Incomplete;;Lorena Bedoya Durango;;;;Recovery;1;From Throw In;Daniela Alexandra Árias Rojas;403277;Left Center Back;13;Germany Women's;857;['0f359ea2-c9d5-49a9-8338-c0951b75d356', '6f6fd9de-9019-4fdd-848a-9f289057e31a', 'ce575b3e-bf3e-4658-a859-3697218ff223', 'd975b944-40b8-4463-9168-e9dfb56a8e94'];11;Colombia Women's;16802;12:09:12 a. m.;Pass;VERDADERO;44,9;33,9;46,8;35
