Column1;duration;id;index;location;match_id;minute;off_camera;pass_aerial_won;pass_angle;pass_assisted_shot_id;pass_body_part;pass_cross;pass_end_location;pass_goal_assist;pass_height;pass_inswinging;pass_length;pass_no_touch;pass_outcome;pass_outswinging;pass_recipient;pass_shot_assist;pass_switch;pass_technique;pass_type;period;play_pattern;player;player_id;position;possession;possession_team;possession_team_id;related_events;second;team;team_id;timestamp;type;under_pressure;x;y;pass_end_x;pass_end_y
210;1,986986;144b6dd4-5c70-4039-8c02-3827439b32ef;736;[26.0, 52.8];3893818;20;;;0,3663638;;Right Foot;;[59.1, 65.5];;Low Pass;;35,452785;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;Recovery;1;Regular Play;Jorelyn Andrea Daniela Carabalí Martínez;388473;Right Center Back;34;Germany Women's;857;['51139e1a-aea2-4a51-a020-10524d3b024e', '549628bf-e6b6-465d-a44c-34e20620db41', 'd0e88818-1db0-41a5-952e-e799602c5ec2'];43;Colombia Women's;16802;12:20:44 a. m.;Pass;;26;52,8;59,1;65,5
217;1,450389;129c8c4e-4b4c-4eb7-bf94-89ca3c80d83d;780;[13.5, 41.4];3893818;22;;;-1,3510013;;Keeper Arm;;[17.7, 22.6];;Ground Pass;;19,263437;;;;Daniela Alexandra Árias Rojas;;;;;1;From Keeper;Catalina Pérez Jaramillo;46344;Goalkeeper;37;Colombia Women's;16802;['d86330eb-7f05-4372-bd83-e998b252cca6'];37;Colombia Women's;16802;12:22:38 a. m.;Pass;;13,5;41,4;17,7;22,6
218;2,453277;0eb5ec8c-84f4-4f45-8e96-6c26d822c745;784;[26.0, 10.7];3893818;22;;;0,8454352;;Left Foot;;[51.8, 39.8];;High Pass;;38,89023;;;;María Catalina Usme Pineda;;;;;1;From Keeper;Daniela Alexandra Árias Rojas;403277;Left Center Back;37;Colombia Women's;16802;['86097d47-0d7f-4466-91f0-ecec2ea883f1'];42;Colombia Women's;16802;12:22:42 a. m.;Pass;;26;10,7;51,8;39,8
219;1,09259;f9223e7a-e026-4404-bdd9-e47d2b08ebb7;787;[51.7, 41.0];3893818;22;;;-2,13229;;Right Foot;;[47.8, 34.8];;Ground Pass;;7,324616;;;;Lorena Bedoya Durango;;;;;1;From Keeper;María Catalina Usme Pineda;403278;Center Attacking Midfield;37;Colombia Women's;16802;['e0502a0d-5419-4935-9975-8ea6d0f04b93'];46;Colombia Women's;16802;12:22:46 a. m.;Pass;;51,7;41;47,8;34,8
220;1,327107;434842f3-d72c-4c36-b724-7f52b170bd41;790;[50.4, 37.0];3893818;22;;;0,44300157;;Right Foot;;[77.8, 50.0];;Low Pass;;30,327545;;Incomplete;;Lady Patricia Andrade Rodríguez;;;;;1;From Keeper;Lorena Bedoya Durango;49904;Right Defensive Midfield;37;Colombia Women's;16802;['15a44b5d-8291-4835-a7a6-b7656d86e835', '6f4ee9d8-5c07-421a-8e79-9681bfaecb87'];48;Colombia Women's;16802;12:22:48 a. m.;Pass;;50,4;37;77,8;50
233;0,837309;4e39f1b3-8c4b-4309-b1ed-d5ae1075058c;831;[37.6, 66.4];3893818;23;;;-0,43984258;;Right Foot;;[47.8, 61.6];;Low Pass;;11,272977;;;;Lady Patricia Andrade Rodríguez;;;;Recovery;1;Regular Play;Carolina Arias Vidal;403283;Right Back;39;Colombia Women's;16802;['5099e077-f67e-4b6e-b905-ecd0a01989f0', '9da20bc6-c07a-4cd1-b89e-86a15fc70acf'];20;Colombia Women's;16802;12:23:20 a. m.;Pass;;37,6;66,4;47,8;61,6
234;0,974446;cccab04a-6632-4b13-91f1-e88f05a1d16d;834;[46.7, 62.2];3893818;23;;;2,6651251;;Right Foot;;[37.4, 67.0];;Ground Pass;;10,465658;;;;Carolina Arias Vidal;;;;;1;Regular Play;Lady Patricia Andrade Rodríguez;49888;Right Wing;39;Colombia Women's;16802;['5f9fb2ae-3b0b-48db-8a58-e7b654f8d946'];21;Colombia Women's;16802;12:23:21 a. m.;Pass;;46,7;62,2;37,4;67
235;3,962727;ed2b247d-4d26-472e-ae83-dc6b9144a21b;837;[38.2, 70.1];3893818;23;;;0,09316386;;Right Foot;;[77.8, 73.8];;Ground Pass;;39,772476;;Incomplete;;Lady Patricia Andrade Rodríguez;;;;;1;Regular Play;Carolina Arias Vidal;403283;Right Back;39;Colombia Women's;16802;['1506a52f-178a-437f-afe3-d23a39b8826b', 'bbc291af-b2cf-44c7-a7ba-0582a5392a7d'];22;Colombia Women's;16802;12:23:23 a. m.;Pass;;38,2;70,1;77,8;73,8
241;1,441003;6bf4a39f-2b0a-442a-b16e-fd6226af4b71;852;[10.9, 36.7];3893818;23;;;-1,2538534;;Head;;[19.1, 11.7];;Low Pass;;26,310453;;;;Manuela Vanegas Cataño;;;;Recovery;1;From Throw In;Jorelyn Andrea Daniela Carabalí Martínez;388473;Right Center Back;41;Germany Women's;857;['410efa85-78f6-4e8d-b55e-97361e395e2e', '4a9c24ea-77a6-4526-8e67-86eaf0630f4a'];57;Colombia Women's;16802;12:23:57 a. m.;Pass;;10,9;36,7;19,1;11,7
242;2,184963;4e82325f-1116-4714-89a1-440c19615ad5;855;[18.6, 11.7];3893818;23;;;0,43741456;;Right Foot;;[46.4, 24.7];;High Pass;;30,689411;;Incomplete;;María Catalina Usme Pineda;;;;;1;From Throw In;Manuela Vanegas Cataño;49945;Left Back;41;Germany Women's;857;['2cf4ca14-c0e2-4ca8-8dee-73c6447eaa2a', 'ea11ae9b-77d8-4ed9-964a-d406617aa2e0'];58;Colombia Women's;16802;12:23:59 a. m.;Pass;;18,6;11,7;46,4;24,7
256;1,096372;1460eee8-747e-464c-bd44-47ab299db604;922;[18.4, 80.0];3893818;25;;;-0,76532054;;;;[31.1, 67.8];;High Pass;;17,610508;;;;María Catalina Usme Pineda;;;;Throw-in;1;From Throw In;Carolina Arias Vidal;403283;Right Back;43;Colombia Women's;16802;['1df2b078-0abc-4820-8b34-afeea85cf7e6'];23;Colombia Women's;16802;12:25:24 a. m.;Pass;;18,4;80;31,1;67,8
257;3,623935;e0b39b6f-7c50-424e-bafd-def05d1e0813;926;[28.2, 65.9];3893818;25;;;-0,34421867;;Left Foot;;[44.1, 60.2];;High Pass;;16,890825;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;;1;From Throw In;María Catalina Usme Pineda;403278;Center Attacking Midfield;43;Colombia Women's;16802;['1fe8326e-dfd5-4083-9167-c89fcd9de6e9', '6d3ac457-827e-4d4b-98ff-e70814b84e19'];25;Colombia Women's;16802;12:25:26 a. m.;Pass;;28,2;65,9;44,1;60,2
263;0,978316;0c3eea86-ace1-4b29-a2ca-80468d0a3824;948;[41.0, 73.2];3893818;25;;;-0,9119903;;Right Foot;;[50.6, 60.8];;Ground Pass;;15,681837;;;;María Catalina Usme Pineda;;;;;1;Regular Play;Carolina Arias Vidal;403283;Right Back;44;Germany Women's;857;['a83e8f09-c622-419e-8faf-a62eaaee8229'];44;Colombia Women's;16802;12:25:44 a. m.;Pass;;41;73,2;50,6;60,8
269;1,117702;04ad0724-6e6d-442f-8f16-c2bf2a73ab01;977;[38.2, 27.6];3893818;26;;;1,4482255;;Right Foot;;[39.9, 41.4];;Ground Pass;;13,904316;;;;Lorena Bedoya Durango;;;;;1;Regular Play;Linda Lizeth Caicedo Alegría;386339;Left Wing;44;Germany Women's;857;['0632e0aa-3abe-4b72-ba09-7e78b4edb5fe', '28e702c7-ffcd-49a1-b830-2d2816f42868'];4;Colombia Women's;16802;12:26:05 a. m.;Pass;VERDADERO;38,2;27,6;39,9;41,4
270;2,726031;2de6d03e-a68a-4109-8960-84eac465a789;979;[39.9, 41.4];3893818;26;;;-0,8850668;;Right Foot;;[57.9, 19.4];;High Pass;;28,42534;;Incomplete;;Linda Lizeth Caicedo Alegría;;;;;1;Regular Play;Lorena Bedoya Durango;49904;Right Defensive Midfield;44;Germany Women's;857;['4985b7c1-f859-4a8f-995a-79e1795dbe25', '540e11af-9bc3-4ab9-abf7-70fb8defb0fb'];5;Colombia Women's;16802;12:26:06 a. m.;Pass;;39,9;41,4;57,9;19,4
274;1,558103;47206b4f-efb6-423b-97d4-1bd8d63923d2;998;[20.6, 51.1];3893818;26;;;-0,20065288;;Left Foot;;[44.2, 46.3];;Ground Pass;;24,083189;;Incomplete;;María Catalina Usme Pineda;;;;;1;Regular Play;Jorelyn Andrea Daniela Carabalí Martínez;388473;Right Center Back;44;Germany Women's;857;['8bf3fa0c-4479-4986-8017-b88a84053c66', 'ea362651-29f6-49a0-a163-5ae2143fbe6b'];20;Colombia Women's;16802;12:26:21 a. m.;Pass;;20,6;51,1;44,2;46,3
281;2,934542;e02b7509-5088-4a41-8929-42503a14e27d;1020;[39.0, 55.5];3893818;26;;;-2,581083;;Right Foot;;[10.8, 37.8];;Ground Pass;;33,294594;;;;Catalina Pérez Jaramillo;;;;Recovery;1;Regular Play;Carolina Arias Vidal;403283;Right Back;45;Colombia Women's;16802;['112fff08-f997-4654-849d-d475df3f83f6', 'e21b6fe1-85e7-4064-a820-340ca9a2331d'];54;Colombia Women's;16802;12:26:55 a. m.;Pass;;39;55,5;10,8;37,8
282;2,317277;a2c7bd8d-90d3-4d39-a870-4eab25a708ec;1023;[10.3, 35.0];3893818;26;;;-0,9976687;;Right Foot;;[28.5, 6.8];;Ground Pass;;33,563076;;;;Manuela Vanegas Cataño;;;;;1;Regular Play;Catalina Pérez Jaramillo;46344;Goalkeeper;45;Colombia Women's;16802;['3786c1f8-0c8c-47d9-892f-bdbbe30da01a'];58;Colombia Women's;16802;12:26:59 a. m.;Pass;;10,3;35;28,5;6,8
283;0,850684;acdacff9-bcda-4a72-8112-22ad3dd7f431;1026;[51.0, 6.6];3893818;27;;;0,38655645;;Left Foot;;[70.9, 14.7];;Ground Pass;;21,485344;;;;Mayra Tatiana Ramírez Ramírez;;;;;1;Regular Play;Manuela Vanegas Cataño;49945;Left Back;45;Colombia Women's;16802;['404058dd-aa89-43a2-9ea2-c810f83dda0c'];4;Colombia Women's;16802;12:27:05 a. m.;Pass;;51;6,6;70,9;14,7
285;1,463473;048444b1-0e44-45c6-9e86-830623ef704b;1034;[35.4, 29.5];3893818;27;;VERDADERO;0,23342802;;;;[49.7, 32.9];;Low Pass;;14,698639;;;;Lorena Bedoya Durango;;;;Recovery;1;Regular Play;Daniela Alexandra Árias Rojas;403277;Left Center Back;45;Colombia Women's;16802;['3c549006-c612-4e7d-b12e-be5cdb2275c9', '9a03f4eb-1c72-46d5-862f-18e520fef0bb', 'd210ee95-b2de-4107-b728-a08b5fedbf48'];11;Colombia Women's;16802;12:27:11 a. m.;Pass;VERDADERO;35,4;29,5;49,7;32,9
286;2,251951;866661f7-fbea-4d30-bd87-acba87f675f4;1038;[51.4, 44.9];3893818;27;;;1,1704444;;Right Foot;;[63.8, 74.2];;Ground Pass;;31,815876;;;;Lady Patricia Andrade Rodríguez;;;;;1;Regular Play;Lorena Bedoya Durango;49904;Right Defensive Midfield;45;Colombia Women's;16802;['a9d888eb-ea32-4d17-bccd-a6ce1f48d2c8'];15;Colombia Women's;16802;12:27:15 a. m.;Pass;;51,4;44,9;63,8;74,2
287;0,698931;62c3dd65-67a7-4aa0-9ab1-65e0a8cdaab1;1041;[82.0, 70.5];3893818;27;;;-3,0791738;;Right Foot;;[75.6, 70.1];;Ground Pass;;6,412488;;;;Carolina Arias Vidal;;;;;1;Regular Play;Lady Patricia Andrade Rodríguez;49888;Right Wing;45;Colombia Women's;16802;['cc806171-4f23-4519-88a5-e9723f7d4c1e'];21;Colombia Women's;16802;12:27:21 a. m.;Pass;;82;70,5;75,6;70,1
288;1,142843;9b7c6e26-9ceb-45fe-8251-5ee510311bc0;1044;[74.1, 66.9];3893818;27;;;-0,5305025;;Right Foot;;[92.0, 56.4];;Ground Pass;;20,75235;;;;Mayra Tatiana Ramírez Ramírez;;;;;1;Regular Play;Carolina Arias Vidal;403283;Right Back;45;Colombia Women's;16802;['bf2d0354-b935-4e33-be0a-7ae52abad471'];23;Colombia Women's;16802;12:27:24 a. m.;Pass;;74,1;66,9;92;56,4
290;2,921894;4e4b4b90-4381-4589-ba37-a1e25875e4cb;1052;[59.5, 71.6];3893818;27;;;-0,1045556;;Right Foot;;[108.1, 66.5];;Low Pass;;48,86686;;;;María Catalina Usme Pineda;;;;Recovery;1;Regular Play;Jorelyn Andrea Daniela Carabalí Martínez;388473;Right Center Back;45;Colombia Women's;16802;['097998f4-8da3-461c-a4d6-5c669a851c72', '752e941c-15f6-4122-89db-513b90b30e37'];31;Colombia Women's;16802;12:27:31 a. m.;Pass;;59,5;71,6;108,1;66,5
291;0,370028;b4406310-c7fa-444f-a393-80ff2d53b2f0;1055;[108.1, 66.5];3893818;27;;;-2,5229483;;Left Foot;;[96.3, 58.1];;Low Pass;;14,484474;;;;Mayra Tatiana Ramírez Ramírez;;;;;1;Regular Play;María Catalina Usme Pineda;403278;Center Attacking Midfield;45;Colombia Women's;16802;['f7da8f1f-22f9-4fb8-93c3-d2fe42fc0408'];35;Colombia Women's;16802;12:27:35 a. m.;Pass;;108,1;66,5;96,3;58,1
292;1,836227;d358bcaf-88ec-468c-a5bb-2bea627b2fe3;1058;[94.4, 53.0];3893818;27;;;-1,4340407;;Left Foot;;[98.9, 20.3];;Ground Pass;;33,008183;;;;Linda Lizeth Caicedo Alegría;;;;;1;Regular Play;Mayra Tatiana Ramírez Ramírez;53188;Center Forward;45;Colombia Women's;16802;['83849930-157b-43e4-996f-dec4cbf35fa6'];36;Colombia Women's;16802;12:27:37 a. m.;Pass;;94,4;53;98,9;20,3
294;2,334088;7ecb7ac6-afaa-4055-b0ed-b75ca811120f;1084;[14.8, 41.0];3893818;30;;;0,32577872;;Drop Kick;;[74.3, 61.1];;High Pass;;62,803345;;Incomplete;;;;;;;1;Regular Play;Catalina Pérez Jaramillo;46344;Goalkeeper;50;Colombia Women's;16802;['d999a25a-dbd5-4c3b-aec8-a33a6e02db4b'];29;Colombia Women's;16802;12:30:29 a. m.;Pass;;14,8;41;74,3;61,1
296;1,474636;5624796e-44b4-4d62-b275-4c237e5126f1;1087;[38.6, 68.2];3893818;30;;;-0,16715;;Right Foot;;[62.9, 64.1];;High Pass;;24,643457;;;;María Catalina Usme Pineda;;;;Recovery;1;Regular Play;Carolina Arias Vidal;403283;Right Back;50;Colombia Women's;16802;['7f2995ad-db60-4262-945d-0949adae6fb1', 'd999a25a-dbd5-4c3b-aec8-a33a6e02db4b'];34;Colombia Women's;16802;12:30:35 a. m.;Pass;;38,6;68,2;62,9;64,1
297;1,509236;143c3d37-1d8f-4b5d-afae-d2f2452d9830;1089;[62.9, 64.1];3893818;30;;;0,049140733;;Head;;[75.1, 64.7];;High Pass;;12,2147455;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;;1;Regular Play;María Catalina Usme Pineda;403278;Center Attacking Midfield;50;Colombia Women's;16802;['24cb19ed-aa18-444d-aa6f-18a11dd44ae0', '2814f668-403b-4694-bcd6-f1037207426e'];36;Colombia Women's;16802;12:30:36 a. m.;Pass;;62,9;64,1;75,1;64,7
318;1,711797;839480c4-abaf-40db-9cf1-53566295f8bb;1180;[57.6, 0.1];3893818;33;;;0,25493565;;;;[74.1, 4.4];;High Pass;;17,0511;;;;Linda Lizeth Caicedo Alegría;;;;Throw-in;1;From Throw In;Manuela Vanegas Cataño;49945;Left Back;53;Colombia Women's;16802;['181862fd-6663-4a20-b46d-07d754395b23'];0;Colombia Women's;16802;12:33:00 a. m.;Pass;;57,6;0,1;74,1;4,4
319;2,510517;d964a061-cc4a-46e0-b0aa-d23575571c4c;1186;[74.7, 5.3];3893818;33;;;0,9099302;;Left Foot;;[105.1, 44.4];;High Pass;;49,527466;;Incomplete;;;;;;Free Kick;1;From Free Kick;María Catalina Usme Pineda;403278;Center Attacking Midfield;54;Colombia Women's;16802;['8dc268b2-d354-41e8-b690-a55b90fec62c'];47;Colombia Women's;16802;12:33:48 a. m.;Pass;;74,7;5,3;105,1;44,4
320;1,171604;78ed3947-4b8f-46d8-96f7-b010f40acde8;1188;[65.1, 80.0];3893818;34;;;-0,34265342;;;;[82.2, 73.9];;High Pass;;18,15544;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;Throw-in;1;From Throw In;Carolina Arias Vidal;403283;Right Back;55;Colombia Women's;16802;['672d3fe5-f23b-4ace-94d2-aea325621a12', '9ce9ab36-cf2b-451f-87e6-2d1bc8dafa45'];34;Colombia Women's;16802;12:34:34 a. m.;Pass;;65,1;80;82,2;73,9
322;1,298848;d33a69a9-a168-43c6-896b-1daf7a183c53;1192;[68.3, 64.3];3893818;34;;;-2,1889405;;Head;;[61.9, 55.3];;Low Pass;;11,0435505;;;;Daniela Montoya Quiróz;;;;Interception;1;From Throw In;Carolina Arias Vidal;403283;Right Back;55;Colombia Women's;16802;['672d3fe5-f23b-4ace-94d2-aea325621a12', 'ff6f9684-fd41-4387-8d03-34a4546726cb'];37;Colombia Women's;16802;12:34:37 a. m.;Pass;;68,3;64,3;61,9;55,3
323;2,010896;c42352ed-3fe6-4de6-a543-9ebfc607f50a;1196;[61.7, 58.1];3893818;34;;;0;;Right Foot;;[89.9, 58.1];;High Pass;;28,2;;Incomplete;;;;;;;1;From Throw In;Daniela Montoya Quiróz;403282;Left Defensive Midfield;55;Colombia Women's;16802;['dea94711-2e9e-4968-9e67-2c41fe022f4f'];38;Colombia Women's;16802;12:34:39 a. m.;Pass;;61,7;58,1;89,9;58,1
327;2,752672;18c293c6-52de-4cd8-851d-be404804fcb4;1211;[79.6, 80.0];3893818;34;;;-0,29505068;;;;[110.2, 70.7];;High Pass;;31,982027;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;Throw-in;1;From Throw In;Carolina Arias Vidal;403283;Right Back;57;Colombia Women's;16802;['265e65dd-5b5a-4ac0-9f42-ed069beb342c', 'f236a6f1-4e58-4785-b6c4-63c8b79b00fd'];59;Colombia Women's;16802;12:34:59 a. m.;Pass;;79,6;80;110,2;70,7
329;1,44334;5cacf196-b26d-47ad-9c3a-fe05d9f7e49e;1218;[111.3, 80.0];3893818;35;;;-1,7814602;;;;[107.9, 64.1];;Low Pass;;16,259459;;Incomplete;;Lady Patricia Andrade Rodríguez;;;;Throw-in;1;From Throw In;Carolina Arias Vidal;403283;Right Back;58;Colombia Women's;16802;['116f5e0b-b9b8-4a41-ae9f-ed74ec69d4f0', 'd5c5c83c-c163-413c-a587-9a6077412f3a'];19;Colombia Women's;16802;12:35:19 a. m.;Pass;;111,3;80;107,9;64,1
331;1,536444;5f7af889-46c9-4a79-9524-72864d4147c9;1225;[36.6, 57.9];3893818;35;;;-0,05291007;;Right Foot;;[68.7, 56.2];;High Pass;;32,144985;;Incomplete;;Mayra Tatiana Ramírez Ramírez;;;;;1;From Throw In;Daniela Alexandra Árias Rojas;403277;Left Center Back;58;Colombia Women's;16802;['249144ce-8d24-4cca-845a-aeb3bf8dd127', 'c639900f-e058-485b-80b8-767a16ee30a9'];32;Colombia Women's;16802;12:35:32 a. m.;Pass;;36,6;57,9;68,7;56,2
334;0,581999;d4fe9258-8615-4896-abce-551e5f7ef364;1235;[74.1, 50.4];3893818;35;;;-2,9889433;;Left Foot;;[68.9, 49.6];;Ground Pass;;5,2611785;;;;María Catalina Usme Pineda;;;;;1;From Throw In;Lady Patricia Andrade Rodríguez;49888;Right Wing;58;Colombia Women's;16802;['537d94c7-e19f-4724-b723-94fbc3a7d3ee'];37;Colombia Women's;16802;12:35:38 a. m.;Pass;;74,1;50,4;68,9;49,6
335;0,824309;672fd453-dac4-483c-a9e7-60049453534e;1238;[68.9, 49.6];3893818;35;;;1,8905976;;Left Foot;;[63.8, 65.0];;Ground Pass;;16,222515;;;;Carolina Arias Vidal;;;;;1;From Throw In;María Catalina Usme Pineda;403278;Center Attacking Midfield;58;Colombia Women's;16802;['9267ae75-19e5-4e6d-b844-be12f25b70cc'];38;Colombia Women's;16802;12:35:39 a. m.;Pass;;68,9;49,6;63,8;65
336;1,238856;10929533-bf8c-4fd6-be19-67452704642d;1241;[68.3, 65.8];3893818;35;;;0,35703003;;Right Foot;;[80.9, 70.5];;Ground Pass;;13,448049;;;;Mayra Tatiana Ramírez Ramírez;;;;;1;From Throw In;Carolina Arias Vidal;403283;Right Back;58;Colombia Women's;16802;['4c04370e-59d2-457f-ac02-1d4e8eadcc1c'];40;Colombia Women's;16802;12:35:41 a. m.;Pass;;68,3;65,8;80,9;70,5
337;1,252279;67230950-ac02-4a60-a441-387657cfbffe;1244;[86.9, 68.6];3893818;35;;;-1,0366582;;Right Foot;;[100.8, 45.1];;High Pass;;27,303114;;Incomplete;;;;;;;1;From Throw In;Mayra Tatiana Ramírez Ramírez;53188;Center Forward;58;Colombia Women's;16802;['1c54e38d-3461-4de0-9e8d-1c66bf9829e3'];43;Colombia Women's;16802;12:35:44 a. m.;Pass;;86,9;68,6;100,8;45,1
347;0,623993;a68abe7d-cd85-4067-af12-fa132535a5ea;1281;[53.5, 57.0];3893818;36;;;-0,9791966;;Right Foot;;[57.8, 50.6];;Ground Pass;;7,7103825;;;;María Catalina Usme Pineda;;;;;1;Regular Play;Lorena Bedoya Durango;49904;Right Defensive Midfield;60;Colombia Women's;16802;['f51cf8aa-754e-438d-9546-184df26c9b21'];41;Colombia Women's;16802;12:36:41 a. m.;Pass;;53,5;57;57,8;50,6
348;0,975775;2e8c0c93-237e-4ee3-bded-07be75f7d579;1283;[57.6, 51.3];3893818;36;;;1,6825733;;Left Foot;;[56.5, 61.1];;Ground Pass;;9,861542;;;;Daniela Montoya Quiróz;;;;;1;Regular Play;María Catalina Usme Pineda;403278;Center Attacking Midfield;60;Colombia Women's;16802;['bf7daa56-a214-46d5-8642-ed2b3af807bf'];41;Colombia Women's;16802;12:36:42 a. m.;Pass;;57,6;51,3;56,5;61,1
349;1,359063;dd6183b9-6c08-4d69-b1a6-79f4d2770207;1286;[58.9, 62.0];3893818;36;;;0,4370758;;Right Foot;;[71.1, 67.7];;Ground Pass;;13,465883;;;;Mayra Tatiana Ramírez Ramírez;;;;;1;Regular Play;Daniela Montoya Quiróz;403282;Left Defensive Midfield;60;Colombia Women's;16802;['ef83b173-2360-4b1b-a8cb-a1f151bf3103'];43;Colombia Women's;16802;12:36:43 a. m.;Pass;;58,9;62;71,1;67,7
350;2,109176;d2bd50d3-12be-4b7a-bd77-2ab47098be1a;1292;[74.7, 80.0];3893818;37;;;-0,29186815;;;;[97.0, 73.3];;High Pass;;23,28476;;;;Mayra Tatiana Ramírez Ramírez;;;;Throw-in;1;From Throw In;Carolina Arias Vidal;403283;Right Back;61;Colombia Women's;16802;['abdde5c0-d583-4f40-87d2-e7b574d97794'];2;Colombia Women's;16802;12:37:03 a. m.;Pass;;74,7;80;97;73,3
351;1,590577;598c86ca-8def-4ef8-8c4c-808653d56339;1304;[113.6, 72.2];3893818;37;;;-1,4737;;Right Foot;VERDADERO;[116.6, 41.4];;Low Pass;;30,945759;;Incomplete;;;;;;;1;From Throw In;Mayra Tatiana Ramírez Ramírez;53188;Center Forward;61;Colombia Women's;16802;['795f7803-0daa-4021-8cd0-2962d48835cf'];14;Colombia Women's;16802;12:37:15 a. m.;Pass;;113,6;72,2;116,6;41,4
360;0,571599;4de98ab6-e4b4-4833-9bbe-af4cff4143e5;1334;[67.9, 49.8];3893818;38;;;2,0091329;;Left Foot;;[64.9, 56.2];;Ground Pass;;7,0682387;;;;Lorena Bedoya Durango;;;;Recovery;1;Regular Play;Daniela Montoya Quiróz;403282;Left Defensive Midfield;63;Colombia Women's;16802;['a1985056-8087-4056-b92c-788bf21b324b', 'f5fb2f49-821a-4df1-b3d9-575df1c5daaa'];3;Colombia Women's;16802;12:38:04 a. m.;Pass;;67,9;49,8;64,9;56,2
361;0,895734;ee0b9d63-4f8d-4b61-9bf5-47284061ad51;1338;[69.2, 65.0];3893818;38;;;-0,08268399;;Right Foot;;[87.3, 63.5];;Low Pass;;18,162048;;;;Mayra Tatiana Ramírez Ramírez;;;;;1;Regular Play;Lorena Bedoya Durango;49904;Right Defensive Midfield;63;Colombia Women's;16802;['e0de4dd8-e2c0-422c-8151-bda1ff65d3ab'];8;Colombia Women's;16802;12:38:08 a. m.;Pass;;69,2;65;87,3;63,5
375;0,704043;2d63aa7e-f9bb-47fd-a60d-044f35b2c02e;1394;[38.1, 12.1];3893818;39;;;-1,3734008;;Right Foot;;[39.6, 4.6];;Ground Pass;;7,648529;;;;Manuela Vanegas Cataño;;;;;1;Regular Play;Daniela Montoya Quiróz;403282;Left Defensive Midfield;67;Colombia Women's;16802;['47dd682f-367b-401c-9bad-865776dbc0c0'];11;Colombia Women's;16802;12:39:11 a. m.;Pass;;38,1;12,1;39,6;4,6
376;1,08609;b7c2e6e2-cf4c-4e18-9856-1087717035d6;1397;[39.6, 4.6];3893818;39;;;0,2737707;;Left Foot;;[54.2, 8.7];;High Pass;;15,164762;;;;María Catalina Usme Pineda;;;;;1;Regular Play;Manuela Vanegas Cataño;49945;Left Back;67;Colombia Women's;16802;['ce1d05cd-06d9-4eea-be3e-f6c5dcb873a0'];12;Colombia Women's;16802;12:39:13 a. m.;Pass;;39,6;4,6;54,2;8,7
377;2,228744;aef3038c-e69b-4cd4-bad0-2af42cdd2476;1400;[54.0, 8.1];3893818;39;;;-0,14097284;;Left Foot;;[84.3, 3.8];;High Pass;;30,603594;;;;Linda Lizeth Caicedo Alegría;;;;;1;Regular Play;María Catalina Usme Pineda;403278;Center Attacking Midfield;67;Colombia Women's;16802;['574d41f5-6228-4c72-81da-f5f63daa06ca'];14;Colombia Women's;16802;12:39:15 a. m.;Pass;;54;8,1;84,3;3,8
378;1,098834;a272fe78-62fa-4a1a-99aa-00e820f85f7c;1404;[97.6, 7.2];3893818;39;;;1,5707964;8bbdf32d-f47d-4b6d-b034-2d51d96cbd79;Right Foot;;[97.6, 21.1];;Ground Pass;;13,9;;;;Mayra Tatiana Ramírez Ramírez;VERDADERO;;;;1;Regular Play;Linda Lizeth Caicedo Alegría;386339;Left Wing;67;Colombia Women's;16802;['83a4ddce-3684-45df-b723-0785a1fe392c', 'f3d5875d-a3df-480f-a401-b161da0dd94c'];19;Colombia Women's;16802;12:39:20 a. m.;Pass;VERDADERO;97,6;7,2;97,6;21,1
389;1,992712;dc96245a-8c01-4c44-8830-218cb3a36d60;1442;[5.0, 54.9];3893818;40;;;1,2432877;;Right Foot;;[10.3, 70.5];;Ground Pass;;16,47574;;;;Jorelyn Andrea Daniela Carabalí Martínez;;;;;1;Regular Play;Carolina Arias Vidal;403283;Right Back;69;Colombia Women's;16802;['028c625c-bd14-43c6-862e-5aab3c17d46f'];8;Colombia Women's;16802;12:40:08 a. m.;Pass;;5;54,9;10,3;70,5
390;0,704043;07020272-4d5b-4467-bfc0-69818e622abe;1448;[13.7, 80.0];3893818;40;;;-0,43002114;;;;[27.0, 73.9];;Low Pass;;14,632156;;;;Lady Patricia Andrade Rodríguez;;;;Throw-in;1;From Throw In;Carolina Arias Vidal;403283;Right Back;70;Colombia Women's;16802;['7325f923-75f9-43ed-830d-85373d120364'];51;Colombia Women's;16802;12:40:52 a. m.;Pass;;13,7;80;27;73,9
391;1,409669;19167435-572e-4ac9-897a-090d52de12b1;1452;[27.0, 73.9];3893818;40;;;3,1415927;;Right Foot;;[20.4, 73.9];;Low Pass;;6,6;;;;Carolina Arias Vidal;;;;;1;From Throw In;Lady Patricia Andrade Rodríguez;49888;Right Wing;70;Colombia Women's;16802;['0f631473-5f5e-435e-bc59-bbc8a77c946d', '3d0aa79f-69f4-4aa0-b491-fbd5fa892d4f'];52;Colombia Women's;16802;12:40:53 a. m.;Pass;VERDADERO;27;73,9;20,4;73,9
